stage,task,task_id,start,finish,deserial,serial,run_time,jvm_gc
0,0,0,1452689741061,1452689746192,500,1,4389,78
0,1,1,1452689741088,1452689746172,500,1,4339,78
1,2,0,1452689746235,1452689748318,67,0,1974,0
1,3,1,1452689746244,1452689748317,66,0,1967,0
1,4,2,1452689746247,1452689748328,64,0,1991,0
1,5,3,1452689746250,1452689748314,62,0,1962,0
3,6,0,1452689748410,1452689748462,29,0,2,0
5,7,0,1452689748562,1452689749417,44,0,781,0
5,8,1,1452689748565,1452689749385,44,0,749,0
5,9,2,1452689748567,1452689749395,42,0,761,0
5,10,3,1452689748570,1452689749364,41,3,723,0
7,11,0,1452689749955,1452689750788,53,0,752,27
7,12,1,1452689749958,1452689750834,52,0,802,27
7,13,2,1452689749961,1452689750855,51,0,823,27
7,14,3,1452689749964,1452689750778,50,1,740,27
8,15,0,1452689750879,1452689755210,354,0,3956,66
8,16,1,1452689750881,1452689755198,354,1,3938,66
8,17,2,1452689750882,1452689755202,351,0,3942,66
8,18,3,1452689750884,1452689755213,349,0,3959,66
11,19,0,1452689755284,1452689756630,32,0,1293,34
11,20,1,1452689755285,1452689756651,33,1,1312,34
11,21,2,1452689755286,1452689756610,31,1,1271,34
11,22,3,1452689755288,1452689756674,27,1,1339,34
14,23,0,1452689756747,1452689758781,37,0,1978,10
14,24,1,1452689756748,1452689758689,38,0,1882,10
14,25,2,1452689756750,1452689758693,37,0,1883,10
14,26,3,1452689756751,1452689758698,34,0,1897,10
17,27,0,1452689758863,1452689760158,31,0,1244,7
17,28,1,1452689758865,1452689760074,30,1,1157,7
17,29,2,1452689758868,1452689760076,31,0,1159,7
17,30,3,1452689758870,1452689760108,28,1,1188,7
20,31,0,1452689760241,1452689761762,28,0,1478,8
20,32,1,1452689760243,1452689761653,27,0,1367,8
20,33,2,1452689760244,1452689761668,27,0,1383,8
20,34,3,1452689760245,1452689761719,27,1,1431,8
23,35,0,1452689761827,1452689763421,26,1,1551,11
23,36,1,1452689761828,1452689763263,30,0,1390,11
23,37,2,1452689761829,1452689763267,28,0,1394,11
23,38,3,1452689761830,1452689763274,26,0,1404,11
26,39,0,1452689763512,1452689764801,25,0,1246,8
26,40,1,1452689763513,1452689764706,23,1,1155,8
26,41,2,1452689763514,1452689764765,23,1,1213,8
26,42,3,1452689763515,1452689764736,24,0,1184,8
29,43,0,1452689764862,1452689766140,22,1,1239,10
29,44,1,1452689764863,1452689766080,24,1,1135,10
29,45,2,1452689764863,1452689766084,22,0,1142,10
29,46,3,1452689764864,1452689766088,22,1,1157,10
32,47,0,1452689766199,1452689767476,26,1,1237,13
32,48,1,1452689766200,1452689767374,23,0,1138,13
32,49,2,1452689766201,1452689767380,24,0,1144,13
32,50,3,1452689766202,1452689767388,23,0,1151,13
35,51,0,1452689767537,1452689770975,20,0,3404,18
35,52,1,1452689767538,1452689770710,21,1,3138,18
35,53,2,1452689767539,1452689770716,21,0,3145,18
35,54,3,1452689767539,1452689770958,21,0,3384,18
38,55,0,1452689771028,1452689774037,22,0,2973,14
38,56,1,1452689771028,1452689773804,22,0,2740,14
38,57,2,1452689771029,1452689773646,20,0,2583,0
38,58,3,1452689771029,1452689774229,19,1,3165,14
41,59,0,1452689774282,1452689775737,22,0,1420,17
